1,10498,11587,0.7375565610859729,0.7703634706092195
2,15129,16503,0.6217844553886153,0.672935907091046
3,17875,19342,0.5531361715957102,0.616671290974672
4,19767,21297,0.5058373540661483,0.5779261960442348
5,21231,22798,0.4692382690432739,0.5481786832613262
6,22342,23940,0.441463963400915,0.5255459986523445
7,23293,24907,0.417689557761056,0.5063815450473661
8,24163,25796,0.3959401014974626,0.4887629315470292
9,24936,26581,0.3766155846103847,0.4732054381862143
10,25672,27327,0.358216044598885,0.45842086487772005
11,26390,28060,0.34026649333766656,0.4438939315866661
12,27036,28719,0.3241168970775731,0.43083356454873356
13,27652,29348,0.30871728206794835,0.4183677513972016
14,28262,29972,0.29346766330841734,0.40600103056006975
15,28851,30579,0.2787430314242144,0.3939712235918982
16,29489,31227,0.26279343016424594,0.3811288596456459
17,30147,31910,0.24634384140396492,0.36759284949859294
18,30836,32611,0.2291192720181996,0.35370010701969956
19,31599,33398,0.210044748881278,0.3381029767331246
20,32378,34207,0.19057023574410636,0.3220698402631892
21,33196,35063,0.1701207469813255,0.30510523603789286
22,34061,35966,0.1484962875928102,0.28720916405723573
23,34966,36937,0.1258718532036699,0.26796543660073724
24,35830,37912,0.10427239319017023,0.24864243529271868
25,36633,38819,0.08419789505262365,0.23066708946054149
26,37329,39634,0.06679833004174895,0.21451504221332596
27,37839,40254,0.05404864878378035,0.20222759522771416
28,38133,40625,0.04669883252918672,0.19487494549922713
29,38294,40819,0.04267393315167123,0.1910301637005034
30,38371,40913,0.04074898127546811,0.1891672281897816
31,38397,40941,0.04009899752506185,0.18861231122914102
32,38411,40957,0.039749006274843124,0.18829521582306075
33,38415,40961,0.039649008774780614,0.18821594197154068
34,38416,40962,0.03962400939976496,0.18819612350866066
35,38417,40963,0.039599010024749415,0.18817630504578065
