round,ripple_sum,decoded_sum,source_remain_pct,decoded_remain_pct
1,13015.318181818182,13208.954545454546,0.8373105563453184,0.8426596168612523
2,17954.863636363636,18200.81818181818,0.77556700995783,0.7831983188990947
3,20384.409090909092,20653.136363636364,0.745198071387744,0.7539871738503223
4,21746.18181818182,22029.0,0.7281761250711639,0.7375983615345725
5,22524.31818181818,22811.136363636364,0.7184495421079964,0.7282818210501044
6,23007.090909090908,23298.136363636364,0.712414958449383,0.7224808486070028
7,23321.454545454544,23617.68181818182,0.7084854621135418,0.71867453862009
8,23548.363636363636,23846.409090909092,0.7056491339312804,0.7159500129475712
9,23736.545454545456,24038.18181818182,0.7032968906070493,0.713665682794912
10,23885.863636363636,24190.772727272728,0.7014304366649963,0.7118480705900455
11,24008.772727272728,24315.954545454544,0.6998940922329381,0.7103569522996671
12,24106.045454545456,24415.81818181818,0.6986781983407025,0.7091674204852749
13,24190.454545454544,24502.772727272728,0.6976230978930945,0.7081316537845033
14,24272.68181818182,24586.68181818182,0.6965952698318544,0.7071321633946432
15,24350.545454545456,24666.545454545456,0.6956219865433501,0.7061808629123224
16,24429.227272727272,24747.772727272728,0.6946384761099578,0.7052133207272061
17,24507.454545454544,24827.772727272728,0.6936606474237254,0.7042603994387251
18,24585.954545454544,24908.045454545456,0.6926794096891971,0.7033042309691727
19,24664.5,24988.363636363636,0.6916976037799528,0.7023475268991027
20,24742.772727272728,25068.090909090908,0.6907192069190043,0.7013978515028826
21,24818.772727272728,25146.0,0.689769218793856,0.7004698279618485
22,24895.090909090908,25224.409090909092,0.6888152534456956,0.6995358512325338
23,24969.590909090908,25300.363636363636,0.687884015086175,0.6986311124282788
24,25043.045454545456,25375.363636363636,0.6869658447451225,0.6977377363394462
25,25118.18181818182,25452.31818181818,0.686026651939578,0.6968210772855966
26,25194.090909090908,25530.18181818182,0.6850778001638615,0.6958935905701528
27,25270.5,25607.954545454544,0.6841226984662692,0.6949671967032461
28,25349.454545454544,25688.863636363636,0.6831357789845809,0.6940034530773193
29,25429.81818181818,25771.636363636364,0.6821312460866967,0.693017515671638
30,25513.31818181818,25857.31818181818,0.6810875091334085,0.6919969357149435
31,25597.045454545456,25943.272727272728,0.6800409313065404,0.6909731101074195
32,25683.727272727272,26032.090909090908,0.6789574221231326,0.6899151725733164
33,25774.136363636364,26124.636363636364,0.6778273226130128,0.688812845736475
34,25863.68181818182,26216.545454545456,0.6767080184224971,0.6877181055639983
35,25955.68181818182,26310.772727272728,0.6755580327973173,0.6865957399840446
36,26049.81818181818,26407.31818181818,0.6743813429604857,0.6854457453431255
37,26141.727272727272,26501.636363636364,0.673232493684738,0.6843222806374509
38,26233.909090909092,26596.227272727272,0.6720802353606943,0.6831955658117786
39,26325.272727272728,26690.136363636364,0.6709382041815387,0.6820769689243159
40,26415.409090909092,26783.0,0.6698115137197148,0.6809708197542439
41,26503.5,26873.68181818182,0.668710391120111,0.6798906624705836
42,26591.727272727272,26964.454545454544,0.6676075639963591,0.6788094212859679
43,26679.363636363636,27054.18181818182,0.6665121231439153,0.6777406380732655
44,26769.727272727272,27146.68181818182,0.6653825918085114,0.6766388250712745
45,26858.454545454544,27237.863636363636,0.6642735147628837,0.6755527083571321
46,26946.0,27328.136363636364,0.6631792102598717,0.6744774266140017
47,27035.272727272728,27420.454545454544,0.6620633151176519,0.6733777813778069
48,27123.863636363636,27511.454545454544,0.6609559425961721,0.6722938355240803
49,27210.909090909092,27600.727272727272,0.6598678880150362,0.6712304626533713
50,27297.954545454544,27690.5,0.6587798334339002,0.6701611338143414
51,27386.590909090908,27781.136363636364,0.6576718927377044,0.6690815153820155
52,27473.954545454544,27870.954545454544,0.6565798609335565,0.6680116508303088
53,27561.409090909092,27960.31818181818,0.6554866927799766,0.6669472060215141
54,27648.772727272728,28050.136363636364,0.6543946609758288,0.6658773487456231
55,27735.0,28138.954545454544,0.6533168335395808,0.664819403566871
56,27819.545454545456,28225.272727272728,0.6522600285678247,0.663791219560375
57,27904.772727272728,28313.0,0.6511947009753287,0.6627462421915331
58,27990.409090909092,28400.81818181818,0.6501242598103887,0.661700177764693
59,28078.81818181818,28491.409090909092,0.6490191599877728,0.6606210948987861
60,28169.272727272728,28583.545454545456,0.6478884923029371,0.6595236137375329
61,28261.18181818182,28678.136363636364,0.6467396430271894,0.6583968915925892
62,28351.636363636364,28770.590909090908,0.6456089753423536,0.6572956157660121
63,28441.272727272728,28862.590909090908,0.6444885348024059,0.6561997589702236
64,28532.31818181818,28956.090909090908,0.6433504808462621,0.6550860298416827
