round,ripple_sum,decoded_sum,source_remain_pct,decoded_remain_pct
1,14665.666666666666,15042.333333333334,0.8166813489384953,0.8237747828359135
2,20543.904761904763,21030.809523809523,0.7432042474394666,0.75361814994895
3,23559.333333333332,24078.95238095238,0.7055118390633213,0.717908310338642
4,25299.619047619046,25836.285714285714,0.6837585267312134,0.6973206739485475
5,26450.666666666668,26997.428571428572,0.6693706028153814,0.6837175690289287
6,27226.666666666668,27781.190476190477,0.659670718260367,0.6745355615916031
7,27750.238095238095,28308.809523809523,0.6531261532519534,0.668354359889992
8,28121.238095238095,28683.0,0.6484887083182294,0.6639706196719836
9,28401.714285714286,28965.619047619046,0.6449827977299093,0.6606596535308368
10,28604.04761904762,29169.761904761905,0.6424536613753637,0.6582680858048542
11,28762.14285714286,29329.333333333332,0.6404774944926284,0.6563986794344425
12,28895.95238095238,29464.85714285714,0.6388048954447593,0.654810991938887
13,29008.714285714286,29578.95238095238,0.6373953885025843,0.6534743513747571
14,29094.85714285714,29666.85714285714,0.6363186156824826,0.652444539009757
15,29173.904761904763,29748.238095238095,0.6353305323043581,0.651491162948175
16,29246.14285714286,29821.761904761905,0.634427566909878,0.6506298238902994
17,29311.761904761905,29889.14285714286,0.6336073386657072,0.6498404497781882
18,29372.809523809523,29951.619047619046,0.6328442525718428,0.6491085514282249
19,29430.52380952381,30011.04761904762,0.6321228325791761,0.6484123523581654
20,29488.190476190477,30070.0,0.631402007772522,0.6477217333582954
21,29544.85714285714,30128.238095238095,0.6306936828021792,0.6470394835339232
22,29599.14285714286,30183.95238095238,0.630015119260414,0.6463867826816122
23,29651.52380952381,30237.809523809523,0.6293603649746045,0.6457558406350533
24,29703.14285714286,30290.714285714286,0.6287151344611169,0.6451360528164231
25,29752.333333333332,30341.04761904762,0.6281002607259076,0.6445463774069262
26,29801.428571428572,30391.380952380954,0.6274865773924849,0.6439566901697857
27,29850.380952380954,30441.809523809523,0.6268746798403115,0.6433658937400297
28,29900.85714285714,30493.714285714286,0.6262437348774211,0.642757795359307
29,29952.428571428572,30546.904761904763,0.6255990996615518,0.6421346261697786
30,30004.52380952381,30600.285714285714,0.6249479168935983,0.6415092181287152
31,30056.285714285714,30653.666666666668,0.6243009007402288,0.6408838078872124
32,30109.52380952381,30708.571428571428,0.6236354324291185,0.6402405473851726
33,30161.714285714286,30762.238095238095,0.6229830592147361,0.6396117922450956
34,30213.190476190477,30814.85714285714,0.6223396144155341,0.6389953185174009
35,30262.428571428572,30865.47619047619,0.6217241454794316,0.638402273244831
36,30314.238095238095,30918.761904761905,0.6210765339838014,0.6377779868693063
37,30365.47619047619,30971.761904761905,0.6204360653304334,0.6371570595947027
38,30416.095238095237,31024.04761904762,0.6198033346904592,0.6365444983939733
39,30466.85714285714,31076.809523809523,0.6191688184403648,0.6359263609916768
40,30517.95238095238,31129.285714285714,0.6185301355756863,0.63531156323851
41,30569.095238095237,31182.285714285714,0.6178908574208298,0.6346906284645606
42,30619.619047619046,31234.095238095237,0.6172593172421654,0.6340836340726315
43,30669.85714285714,31285.904761904763,0.6166313484399898,0.6334766383686649
44,30719.0,31336.238095238095,0.6160170699949583,0.6328869368895669
45,30766.904761904763,31385.761904761905,0.615418267561834,0.6323067279348006
46,30814.95238095238,31434.904761904763,0.6148176794069836,0.6317309771077533
47,30863.904761904763,31485.285714285714,0.6142057818771313,0.631140716048299
48,30914.095238095237,31536.619047619046,0.6135784083874547,0.6305393000560665
49,30964.904761904763,31589.0,0.612943296958788,0.6299256200234682
50,31016.04761904762,31641.904761904763,0.6123040189006566,0.6293058113773765
51,31067.14285714286,31694.571428571428,0.6116653360806205,0.6286888025005692
52,31118.190476190477,31747.380952380954,0.6110272484465968,0.6280701158850087
53,31169.47619047619,31800.666666666668,0.6103861846295374,0.6274458510521785
54,31221.52380952381,31854.095238095237,0.6097355970847984,0.6268199010337384
55,31273.095238095237,31907.333333333332,0.6090909618912501,0.6261961898212821
56,31325.428571428572,31960.761904761905,0.6084368030444262,0.6255702464714334
57,31377.0,32014.095238095237,0.6077921678583185,0.6249454023583765
58,31426.428571428572,32064.761904761905,0.6071743180367983,0.6243518124173375
59,31475.619047619046,32114.95238095238,0.6065594443611121,0.6237638024852774
60,31524.238095238095,32164.571428571428,0.6059517134607246,0.6231824998251354
61,31571.809523809523,32213.714285714286,0.6053570775901016,0.622606788912312
62,31620.238095238095,32263.47619047619,0.6047517275974527,0.6220238316962787
63,31670.095238095237,32314.619047619046,0.6041285207372408,0.6214246940183327
64,31719.619047619046,32365.333333333332,0.6035094805436956,0.6208305801420692
65,31768.0,32415.14285714286,0.6029047259453899,0.6202470778502415
66,31816.619047619046,32465.190476190477,0.6022969952161312,0.6196607824023241
67,31864.52380952381,32514.333333333332,0.6016981929541357,0.6190850860946933
