round,ripple_sum,decoded_sum,source_remain_pct,decoded_remain_pct
1,9970.545454545454,10979.636363636364,0.7507425950714869,0.7255159530102656
2,14360.272727272728,15618.272727272728,0.6410021567642628,0.6095529429946069
3,16956.363636363636,18314.090909090908,0.5761015065532452,0.5421591732933949
4,18715.909090909092,20121.727272727272,0.5321139698780257,0.4969693939469695
5,20034.18181818182,21469.363636363636,0.4991579755960646,0.46327932710773134
6,21078.909090909092,22532.81818181818,0.4730404467161048,0.43669362811384266
7,21946.454545454544,23415.636363636364,0.4513523525548225,0.414623725315958
8,22685.272727272728,24165.727272727272,0.4328823597591878,0.3958719213837835
9,23347.909090909092,24836.090909090908,0.4163168648056526,0.3791132494414912
10,23940.18181818182,25435.090909090908,0.4015104167850349,0.364138623807132
11,24485.0,25986.18181818182,0.3878903027424314,0.35036169550306695
12,24991.545454545456,26501.636363636364,0.3752269829617896,0.33747565401774043
13,25474.18181818182,26989.81818181818,0.36316137551106675,0.3252714136692037
14,25944.636363636364,27467.363636363636,0.35140030590144333,0.3133330757640149
15,26409.81818181818,27940.090909090908,0.33977105117826595,0.3015151893929924
16,26878.454545454544,28415.727272727272,0.3280554349777619,0.28962457756737897
17,27354.636363636364,28897.545454545456,0.31615118712941265,0.27757942415075987
18,27844.727272727272,29395.81818181818,0.3038992207013006,0.2651229173816109
19,28356.727272727272,29918.0,0.29109954069330085,0.2520686982825429
20,28896.272727272728,30469.81818181818,0.2776112415371434,0.23827358861483008
