1,9886,10853,0.7528561785955351,0.7286817829554262
2,14300,15528,0.6425089372765681,0.6118097047573811
3,16916,18245,0.5771105722356942,0.5438864028399291
4,18647,20025,0.5338366540836479,0.4993875153121172
5,19922,21336,0.5019624509387266,0.46661333466663335
6,20968,22403,0.47581310467238314,0.4399390015249619
7,21807,23258,0.4548386290342742,0.4185645358866028
8,22508,23968,0.43731406714832133,0.4008149796255094
9,23141,24606,0.4214894627634309,0.3848653783655409
10,23716,25189,0.4071148221294467,0.3702907427314317
11,24231,25708,0.39424014399640006,0.35731606709832253
12,24699,26183,0.38254043648908775,0.34544136396590086
13,25138,26622,0.37156571085722856,0.33446663833404167
14,25554,27044,0.36116597085072877,0.32391690207744805
15,25950,27447,0.3512662183445414,0.31384215394615134
16,26357,27858,0.3410914727131822,0.3035674108147296
17,26780,28284,0.3305167370815729,0.2929176770580736
18,27230,28738,0.31926701832454185,0.28156796080098
19,27691,29204,0.3077423064423389,0.2699182520436989
20,28173,29693,0.2956926076848079,0.2576935576610585
