round,ripple_sum,decoded_sum,source_remain_pct,decoded_remain_pct
1,10827.7,11536.25,0.7293142671433215,0.769275
2,16237.65,17254.1,0.5940688982775431,0.654918
3,19908.65,21118.65,0.5022961925951851,0.577627
4,22849.3,24203.25,0.42878178045548865,0.515935
5,25442.75,26937.25,0.3639471513212169,0.46125499999999997
6,27878.75,29525.8,0.3030486737831554,0.40948399999999996
7,30280.55,32107.1,0.2430051748706282,0.357858
8,32703.7,34768.35,0.18242793930151743,0.30463300000000004
9,35100.4,37499.15,0.12251193720156991,0.250017
10,37304.0,40156.8,0.06742331441713953,0.196864
11,38966.45,42390.45,0.02586310342241439,0.15219100000000002
12,39797.65,43709.25,0.005083622909427215,0.125815
13,39986.25,44090.25,0.0003687407814804155,0.11819500000000001
14,39999.6,44122.25,3.499912502188951e-05,0.11755499999999999
15,40000.0,44122.0,2.499937501565519e-05,0.11755999999999997
